ticker,cik,name,cohort,year1,year2,filing_date,trade_start_date,nominal_1m,nominal_3m,nominal_6m,nominal_12m,excess_kre_1m,excess_kre_3m,excess_kre_6m,excess_kre_12m,note
CFR,0000039899,Cullen/Frost Bankers,regional_midcap,2021,2022,2023-05-01,2023-05-02,0.0117,0.069,-0.0909,0.0828,-0.0115,-0.1765,-0.1302,-0.2224,
CFR,0000039899,Cullen/Frost Bankers,regional_midcap,2022,2023,2024-02-29,2024-03-01,0.0247,-0.0469,0.062,0.2402,0.0004,-0.0811,-0.1726,-0.0302,
SNV,0000018349,Synovus Financial Corp,regional_midcap,2019,2020,2021-03-01,2021-03-02,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
SNV,0000018349,Synovus Financial Corp,regional_midcap,2020,2021,2022-02-25,2022-02-26,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
SNV,0000018349,Synovus Financial Corp,regional_midcap,2021,2022,2023-02-24,2023-02-25,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
SNV,0000018349,Synovus Financial Corp,regional_midcap,2022,2023,2024-02-23,2024-02-24,,,,,,,,,price series does not cover the trade window (delisted or reassigned ticker)
PB,0001068851,Prosperity Bancshares,regional_midcap,2019,2020,2021-02-26,2021-02-27,0.0174,0.0052,-0.0428,0.0159,0.0063,-0.0619,-0.0577,-0.1238,
PB,0001068851,Prosperity Bancshares,regional_midcap,2020,2021,2022-02-28,2022-03-01,-0.0017,0.0286,0.0204,0.0355,-0.006,0.1089,0.1123,0.1655,
PB,0001068851,Prosperity Bancshares,regional_midcap,2021,2022,2023-02-27,2023-02-28,-0.1437,-0.1985,-0.2125,-0.1191,0.1301,0.1428,0.0488,0.0714,
PB,0001068851,Prosperity Bancshares,regional_midcap,2022,2023,2024-02-28,2024-02-29,0.0407,0.0002,0.1914,0.2215,0.0087,-0.0085,-0.0206,-0.042,
TCBI,0001077428,Texas Capital Bancshares,regional_midcap,2019,2020,2021-02-09,2021-02-10,0.291,-0.0395,-0.0346,-0.0089,0.1239,-0.1563,-0.1471,-0.2662,
